trial_id,trial_dir,method,scenario,lighting,group_type,gesture_label,trigger_family,trial_index,round_index,valid_capture,missed,n_frames,segmentation_purity_percent,predicted_label,inference_correct,recognition_efficiency
20260508.175804.954191,metric_tests\baseline_manual\dim\20260508.175804.954191,baseline_manual,dim,dim,lighting,SwipeU,wrist_trigger,1,1,True,False,30,62.06896551724138,SwipeU,1,100.0
20260508.175813.775965,metric_tests\baseline_manual\dim\20260508.175813.775965,baseline_manual,dim,dim,lighting,SwipeU,wrist_trigger,2,2,True,False,63,24.193548387096776,SwipeU,1,47.61904761904761
20260508.175817.690753,metric_tests\baseline_manual\dim\20260508.175817.690753,baseline_manual,dim,dim,lighting,SwipeU,wrist_trigger,3,3,True,False,27,15.384615384615385,SwipeU,1,100.0
20260508.175825.597690,metric_tests\baseline_manual\dim\20260508.175825.597690,baseline_manual,dim,dim,lighting,SwipeU,wrist_trigger,4,4,True,False,28,18.51851851851852,SwipeU,1,100.0
20260508.175834.798333,metric_tests\baseline_manual\dim\20260508.175834.798333,baseline_manual,dim,dim,lighting,SwipeU,wrist_trigger,5,5,True,False,31,10.0,SwipeU,1,96.7741935483871
20260508.175848.925296,metric_tests\baseline_manual\dim\20260508.175848.925296,baseline_manual,dim,dim,lighting,SwipeD,wrist_trigger,6,1,True,False,70,13.043478260869565,SwipeU,0,0.0
20260508.175856.636873,metric_tests\baseline_manual\dim\20260508.175856.636873,baseline_manual,dim,dim,lighting,SwipeD,wrist_trigger,7,2,True,False,38,5.405405405405405,SwipeD,1,78.94736842105263
20260508.175900.327327,metric_tests\baseline_manual\dim\20260508.175900.327327,baseline_manual,dim,dim,lighting,SwipeD,wrist_trigger,8,3,True,False,28,62.96296296296296,SwipeD,1,100.0
20260508.175910.654278,metric_tests\baseline_manual\dim\20260508.175910.654278,baseline_manual,dim,dim,lighting,SwipeD,wrist_trigger,9,4,True,False,32,9.67741935483871,SwipeD,1,93.75
20260508.175919.867992,metric_tests\baseline_manual\dim\20260508.175919.867992,baseline_manual,dim,dim,lighting,SwipeD,wrist_trigger,10,5,True,False,29,14.285714285714285,SwipeD,1,100.0
20260508.175929.068379,metric_tests\baseline_manual\dim\20260508.175929.068379,baseline_manual,dim,dim,lighting,swipeL,wrist_trigger,11,1,True,False,32,67.74193548387096,SwipeU,0,0.0
20260508.175933.679850,metric_tests\baseline_manual\dim\20260508.175933.679850,baseline_manual,dim,dim,lighting,swipeL,wrist_trigger,12,2,True,False,29,75.0,SwipeU,0,0.0
20260508.175938.395494,metric_tests\baseline_manual\dim\20260508.175938.395494,baseline_manual,dim,dim,lighting,swipeL,wrist_trigger,13,3,True,False,29,82.14285714285714,SwipeU,0,0.0
20260508.175947.500829,metric_tests\baseline_manual\dim\20260508.175947.500829,baseline_manual,dim,dim,lighting,swipeL,wrist_trigger,14,4,True,False,53,5.769230769230769,SwipeU,0,0.0
20260508.175956.218306,metric_tests\baseline_manual\dim\20260508.175956.218306,baseline_manual,dim,dim,lighting,swipeL,wrist_trigger,15,5,True,False,25,8.333333333333332,SwipeU,0,0.0
20260508.180014.443005,metric_tests\baseline_manual\dim\20260508.180014.443005,baseline_manual,dim,dim,lighting,swipeR,wrist_trigger,16,1,True,False,54,7.547169811320755,SwipeU,0,0.0
20260508.180022.346744,metric_tests\baseline_manual\dim\20260508.180022.346744,baseline_manual,dim,dim,lighting,swipeR,wrist_trigger,17,2,True,False,29,7.142857142857142,swipeL,0,0.0
20260508.180035.371652,metric_tests\baseline_manual\dim\20260508.180035.371652,baseline_manual,dim,dim,lighting,swipeR,wrist_trigger,18,3,True,False,58,8.771929824561402,swipeL,0,0.0
20260508.180046.176110,metric_tests\baseline_manual\dim\20260508.180046.176110,baseline_manual,dim,dim,lighting,swipeR,wrist_trigger,19,4,True,False,38,5.405405405405405,swipeL,0,0.0
20260508.180054.893929,metric_tests\baseline_manual\dim\20260508.180054.893929,baseline_manual,dim,dim,lighting,swipeR,wrist_trigger,20,5,True,False,56,7.2727272727272725,swipeL,0,0.0
20260508.180058.185800,metric_tests\baseline_manual\dim\20260508.180058.185800,baseline_manual,dim,dim,lighting,Grab,scale_trigger,21,1,True,False,22,14.285714285714285,Grab,1,100.0
20260508.180104.297967,metric_tests\baseline_manual\dim\20260508.180104.297967,baseline_manual,dim,dim,lighting,Grab,scale_trigger,22,2,True,False,18,23.52941176470588,Grab,1,100.0
20260508.180113.616193,metric_tests\baseline_manual\dim\20260508.180113.616193,baseline_manual,dim,dim,lighting,Grab,scale_trigger,23,3,True,False,39,23.684210526315788,Grab,1,76.92307692307693
20260508.180119.935058,metric_tests\baseline_manual\dim\20260508.180119.935058,baseline_manual,dim,dim,lighting,Grab,scale_trigger,24,4,True,False,21,20.0,Grab,1,100.0
20260508.180126.329505,metric_tests\baseline_manual\dim\20260508.180126.329505,baseline_manual,dim,dim,lighting,Grab,scale_trigger,25,5,True,False,19,22.22222222222222,Grab,1,100.0
20260508.180135.245061,metric_tests\baseline_manual\dim\20260508.180135.245061,baseline_manual,dim,dim,lighting,Expand,scale_trigger,26,1,True,False,16,20.0,Expand,1,100.0
20260508.180144.061243,metric_tests\baseline_manual\dim\20260508.180144.061243,baseline_manual,dim,dim,lighting,Expand,scale_trigger,27,2,True,False,15,21.428571428571427,Expand,1,100.0
20260508.180149.465324,metric_tests\baseline_manual\dim\20260508.180149.465324,baseline_manual,dim,dim,lighting,Expand,scale_trigger,28,3,True,False,16,20.0,Expand,1,100.0
20260508.180154.879365,metric_tests\baseline_manual\dim\20260508.180154.879365,baseline_manual,dim,dim,lighting,Expand,scale_trigger,29,4,True,False,16,20.0,Expand,1,100.0
20260508.180200.377511,metric_tests\baseline_manual\dim\20260508.180200.377511,baseline_manual,dim,dim,lighting,Expand,scale_trigger,30,5,True,False,17,18.75,Expand,1,100.0
20260508.175116.579340,metric_tests\baseline_manual\normal\20260508.175116.579340,baseline_manual,normal,normal,lighting,SwipeU,wrist_trigger,1,1,True,False,45,81.81818181818183,SwipeU,1,66.66666666666666
20260508.175119.061425,metric_tests\baseline_manual\normal\20260508.175119.061425,baseline_manual,normal,normal,lighting,SwipeU,wrist_trigger,2,2,True,False,46,6.666666666666667,SwipeU,1,65.21739130434783
20260508.175121.588058,metric_tests\baseline_manual\normal\20260508.175121.588058,baseline_manual,normal,normal,lighting,SwipeU,wrist_trigger,3,3,True,False,51,10.0,SwipeU,1,58.82352941176471
20260508.175124.099752,metric_tests\baseline_manual\normal\20260508.175124.099752,baseline_manual,normal,normal,lighting,SwipeU,wrist_trigger,4,4,True,False,48,10.638297872340425,SwipeU,1,62.5
20260508.175126.787068,metric_tests\baseline_manual\normal\20260508.175126.787068,baseline_manual,normal,normal,lighting,SwipeU,wrist_trigger,5,5,True,False,53,5.769230769230769,SwipeU,1,56.60377358490566
20260508.175130.292500,metric_tests\baseline_manual\normal\20260508.175130.292500,baseline_manual,normal,normal,lighting,SwipeD,wrist_trigger,6,1,True,False,55,72.22222222222221,SwipeD,1,54.54545454545454
20260508.175133.075233,metric_tests\baseline_manual\normal\20260508.175133.075233,baseline_manual,normal,normal,lighting,SwipeD,wrist_trigger,7,2,True,False,53,11.538461538461538,SwipeD,1,56.60377358490566
20260508.175135.811089,metric_tests\baseline_manual\normal\20260508.175135.811089,baseline_manual,normal,normal,lighting,SwipeD,wrist_trigger,8,3,True,False,54,11.320754716981133,SwipeD,1,55.55555555555556
20260508.175139.268329,metric_tests\baseline_manual\normal\20260508.175139.268329,baseline_manual,normal,normal,lighting,SwipeD,wrist_trigger,9,4,True,False,55,5.555555555555555,SwipeD,1,54.54545454545454
20260508.175142.563653,metric_tests\baseline_manual\normal\20260508.175142.563653,baseline_manual,normal,normal,lighting,SwipeD,wrist_trigger,10,5,True,False,63,3.225806451612903,SwipeD,1,47.61904761904761
20260508.175145.461411,metric_tests\baseline_manual\normal\20260508.175145.461411,baseline_manual,normal,normal,lighting,swipeL,wrist_trigger,11,1,True,False,55,74.07407407407408,swipeL,1,54.54545454545454
20260508.175148.099757,metric_tests\baseline_manual\normal\20260508.175148.099757,baseline_manual,normal,normal,lighting,swipeL,wrist_trigger,12,2,True,False,50,6.122448979591836,swipeL,1,60.0
20260508.175150.932120,metric_tests\baseline_manual\normal\20260508.175150.932120,baseline_manual,normal,normal,lighting,swipeL,wrist_trigger,13,3,True,False,52,7.8431372549019605,swipeL,1,57.692307692307686
20260508.175153.827884,metric_tests\baseline_manual\normal\20260508.175153.827884,baseline_manual,normal,normal,lighting,swipeL,wrist_trigger,14,4,True,False,56,3.6363636363636362,swipeL,1,53.57142857142857
20260508.175156.979324,metric_tests\baseline_manual\normal\20260508.175156.979324,baseline_manual,normal,normal,lighting,swipeL,wrist_trigger,15,5,True,False,63,6.451612903225806,swipeL,1,47.61904761904761
20260508.175200.408473,metric_tests\baseline_manual\normal\20260508.175200.408473,baseline_manual,normal,normal,lighting,swipeR,wrist_trigger,16,1,True,False,67,13.636363636363635,swipeL,0,0.0
20260508.175203.667107,metric_tests\baseline_manual\normal\20260508.175203.667107,baseline_manual,normal,normal,lighting,swipeR,wrist_trigger,17,2,True,False,49,79.16666666666666,swipeL,0,0.0
20260508.175208.421481,metric_tests\baseline_manual\normal\20260508.175208.421481,baseline_manual,normal,normal,lighting,swipeR,wrist_trigger,18,3,True,False,73,8.333333333333332,swipeL,0,0.0
20260508.175211.284031,metric_tests\baseline_manual\normal\20260508.175211.284031,baseline_manual,normal,normal,lighting,swipeR,wrist_trigger,19,4,True,False,50,61.224489795918366,swipeL,0,0.0
20260508.175214.437078,metric_tests\baseline_manual\normal\20260508.175214.437078,baseline_manual,normal,normal,lighting,swipeR,wrist_trigger,20,5,True,False,60,3.389830508474576,swipeL,0,0.0
20260508.175219.539299,metric_tests\baseline_manual\normal\20260508.175219.539299,baseline_manual,normal,normal,lighting,Grab,scale_trigger,21,1,True,False,97,12.5,Grab,1,30.927835051546392
20260508.175223.301393,metric_tests\baseline_manual\normal\20260508.175223.301393,baseline_manual,normal,normal,lighting,Grab,scale_trigger,22,2,True,False,58,12.280701754385964,Grab,1,51.724137931034484
20260508.175225.449925,metric_tests\baseline_manual\normal\20260508.175225.449925,baseline_manual,normal,normal,lighting,Grab,scale_trigger,23,3,True,False,34,39.39393939393939,Grab,1,88.23529411764706
20260508.175230.051932,metric_tests\baseline_manual\normal\20260508.175230.051932,baseline_manual,normal,normal,lighting,Grab,scale_trigger,24,4,True,False,78,15.584415584415584,Grab,1,38.46153846153847
20260508.175234.597304,metric_tests\baseline_manual\normal\20260508.175234.597304,baseline_manual,normal,normal,lighting,Grab,scale_trigger,25,5,True,False,85,17.857142857142858,Grab,1,35.294117647058826
20260508.175237.027477,metric_tests\baseline_manual\normal\20260508.175237.027477,baseline_manual,normal,normal,lighting,Expand,scale_trigger,26,1,True,False,40,28.205128205128204,Expand,1,75.0
20260508.175242.452048,metric_tests\baseline_manual\normal\20260508.175242.452048,baseline_manual,normal,normal,lighting,Expand,scale_trigger,27,2,True,False,74,19.17808219178082,Expand,1,40.54054054054054
20260508.175248.851955,metric_tests\baseline_manual\normal\20260508.175248.851955,baseline_manual,normal,normal,lighting,Expand,scale_trigger,28,3,True,False,86,11.76470588235294,Expand,1,34.883720930232556
20260508.175251.283608,metric_tests\baseline_manual\normal\20260508.175251.283608,baseline_manual,normal,normal,lighting,Expand,scale_trigger,29,4,True,False,41,10.0,Expand,1,73.17073170731707
20260508.175256.323202,metric_tests\baseline_manual\normal\20260508.175256.323202,baseline_manual,normal,normal,lighting,Expand,scale_trigger,30,5,True,False,77,15.789473684210526,Expand,1,38.961038961038966
20260508.172005.718725,metric_tests\baseline_manual\scale_trigger\20260508.172005.718725,baseline_manual,scale_trigger,normal,trigger,Grab,scale_trigger,1,1,True,False,42,29.268292682926827,Grab,1,71.42857142857143
20260508.172010.567020,metric_tests\baseline_manual\scale_trigger\20260508.172010.567020,baseline_manual,scale_trigger,normal,trigger,Grab,scale_trigger,2,2,True,False,96,12.631578947368421,Grab,1,31.25
20260508.172013.158379,metric_tests\baseline_manual\scale_trigger\20260508.172013.158379,baseline_manual,scale_trigger,normal,trigger,Grab,scale_trigger,3,3,True,False,50,18.367346938775512,Grab,1,60.0
20260508.172015.667543,metric_tests\baseline_manual\scale_trigger\20260508.172015.667543,baseline_manual,scale_trigger,normal,trigger,Grab,scale_trigger,4,4,True,False,46,22.22222222222222,Grab,1,65.21739130434783
20260508.172019.783806,metric_tests\baseline_manual\scale_trigger\20260508.172019.783806,baseline_manual,scale_trigger,normal,trigger,Grab,scale_trigger,5,5,True,False,57,23.214285714285715,Grab,1,52.63157894736842
20260508.172023.829526,metric_tests\baseline_manual\scale_trigger\20260508.172023.829526,baseline_manual,scale_trigger,normal,trigger,Expand,scale_trigger,6,1,True,False,33,34.375,Expand,1,90.9090909090909
20260508.172026.822053,metric_tests\baseline_manual\scale_trigger\20260508.172026.822053,baseline_manual,scale_trigger,normal,trigger,Expand,scale_trigger,7,2,True,False,49,12.5,Expand,1,61.224489795918366
20260508.172029.559092,metric_tests\baseline_manual\scale_trigger\20260508.172029.559092,baseline_manual,scale_trigger,normal,trigger,Expand,scale_trigger,8,3,True,False,49,12.5,Expand,1,61.224489795918366
20260508.172034.870872,metric_tests\baseline_manual\scale_trigger\20260508.172034.870872,baseline_manual,scale_trigger,normal,trigger,Expand,scale_trigger,9,4,True,False,91,7.777777777777778,Expand,1,32.967032967032964
20260508.172037.239153,metric_tests\baseline_manual\scale_trigger\20260508.172037.239153,baseline_manual,scale_trigger,normal,trigger,Expand,scale_trigger,10,5,True,False,40,10.256410256410255,Expand,1,75.0
20260508.180229.589403,metric_tests\baseline_manual\wrist_trigger\20260508.180229.589403,baseline_manual,wrist_trigger,normal,trigger,SwipeU,wrist_trigger,1,1,True,False,46,73.33333333333333,SwipeU,1,65.21739130434783
20260508.180232.179022,metric_tests\baseline_manual\wrist_trigger\20260508.180232.179022,baseline_manual,wrist_trigger,normal,trigger,SwipeU,wrist_trigger,2,2,True,False,50,4.081632653061225,SwipeU,1,60.0
20260508.180234.978766,metric_tests\baseline_manual\wrist_trigger\20260508.180234.978766,baseline_manual,wrist_trigger,normal,trigger,SwipeU,wrist_trigger,3,3,True,False,55,9.25925925925926,SwipeU,1,54.54545454545454
20260508.180237.587479,metric_tests\baseline_manual\wrist_trigger\20260508.180237.587479,baseline_manual,wrist_trigger,normal,trigger,SwipeU,wrist_trigger,4,4,True,False,50,8.16326530612245,SwipeU,1,60.0
20260508.180240.643395,metric_tests\baseline_manual\wrist_trigger\20260508.180240.643395,baseline_manual,wrist_trigger,normal,trigger,SwipeU,wrist_trigger,5,5,True,False,58,5.263157894736842,SwipeU,1,51.724137931034484
20260508.180245.714586,metric_tests\baseline_manual\wrist_trigger\20260508.180245.714586,baseline_manual,wrist_trigger,normal,trigger,SwipeD,wrist_trigger,6,1,True,False,73,9.722222222222223,SwipeU,0,0.0
20260508.180248.819740,metric_tests\baseline_manual\wrist_trigger\20260508.180248.819740,baseline_manual,wrist_trigger,normal,trigger,SwipeD,wrist_trigger,7,2,True,False,64,3.1746031746031744,swipeL,0,0.0
20260508.180251.682926,metric_tests\baseline_manual\wrist_trigger\20260508.180251.682926,baseline_manual,wrist_trigger,normal,trigger,SwipeD,wrist_trigger,8,3,True,False,57,1.7857142857142856,SwipeD,1,52.63157894736842
20260508.180254.706414,metric_tests\baseline_manual\wrist_trigger\20260508.180254.706414,baseline_manual,wrist_trigger,normal,trigger,SwipeD,wrist_trigger,9,4,True,False,59,3.4482758620689653,SwipeD,1,50.847457627118644
20260508.180258.035898,metric_tests\baseline_manual\wrist_trigger\20260508.180258.035898,baseline_manual,wrist_trigger,normal,trigger,SwipeD,wrist_trigger,10,5,True,False,59,5.172413793103448,SwipeD,1,50.847457627118644
20260508.180301.059039,metric_tests\baseline_manual\wrist_trigger\20260508.180301.059039,baseline_manual,wrist_trigger,normal,trigger,swipeL,wrist_trigger,11,1,True,False,61,68.33333333333333,swipeL,1,49.18032786885246
